127.0.0.1, 2016-08-07 15:55:51, GET, /admin/default/undefined, HTTP/1.1, 303, 0.011000
127.0.0.1, 2016-08-07 15:55:51, GET, /admin/default/index, HTTP/1.1, 200, 0.050000
127.0.0.1, 2016-08-07 15:55:53, POST, /admin/default/index, HTTP/1.1, 303, 0.045000
127.0.0.1, 2016-08-07 15:55:53, GET, /admin/default/ticket/init/127.0.0.1.2016-08-07.15-55-37.31e93941-4ea9-4a24-b212-ecf4e5704680, HTTP/1.1, 200, 0.072000
127.0.0.1, 2016-08-07 15:55:53, GET, /admin/static/_2.14.6/images/help.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2016-08-07 15:57:59, GET, /init/policy/ADHD_screening_letter.doc, HTTP/1.1, 500, 0.195000
127.0.0.1, 2016-08-07 15:58:02, GET, /admin/default/ticket/init/127.0.0.1.2016-08-07.15-57-59.941c3c55-b4cf-4e97-9b42-e475503540a1, HTTP/1.1, 200, 0.137000
127.0.0.1, 2016-08-07 15:58:15, GET, /init/policy/ADHD_screening_letter.doc, HTTP/1.1, 500, 0.180000
127.0.0.1, 2016-08-07 15:58:17, GET, /admin/default/ticket/init/127.0.0.1.2016-08-07.15-58-15.cd9f866a-8943-427d-aa2c-87d947ec4884, HTTP/1.1, 200, 0.124000
127.0.0.1, 2016-08-07 16:03:13, GET, /init/policy/ADHD_screening_letter.doc, HTTP/1.1, 500, 0.135000
127.0.0.1, 2016-08-07 16:03:15, GET, /admin/default/ticket/init/127.0.0.1.2016-08-07.16-03-13.e3aadcfa-b444-4a01-aa6d-748ac12dc578, HTTP/1.1, 200, 0.088000
127.0.0.1, 2016-08-07 16:05:28, GET, /init/policy/ADHD_screening_letter.doc, HTTP/1.1, 500, 0.125000
127.0.0.1, 2016-08-07 16:05:31, GET, /admin/default/ticket/init/127.0.0.1.2016-08-07.16-05-28.405e4c58-dc79-4d86-a47d-693e5218cebb, HTTP/1.1, 200, 0.083000
127.0.0.1, 2016-08-07 16:14:28, GET, /init/policy/ADHD_screening_letter.doc, HTTP/1.1, 500, 0.271000
127.0.0.1, 2016-08-07 16:14:31, GET, /admin/default/ticket/init/127.0.0.1.2016-08-07.16-14-27.78196434-c308-43db-ac0c-1877554bf2d6, HTTP/1.1, 200, 0.185000
127.0.0.1, 2016-08-07 16:15:11, GET, /init/policy/ADHD_screening_letter.doc, HTTP/1.1, 500, 0.179000
127.0.0.1, 2016-08-07 16:15:13, GET, /admin/default/ticket/init/127.0.0.1.2016-08-07.16-15-11.da88fd06-81eb-48af-806c-13d27ce97f62, HTTP/1.1, 200, 0.086000
127.0.0.1, 2016-08-07 16:16:39, GET, /init/policy/ADHD_screening_letter.doc, HTTP/1.1, 500, 0.150000
127.0.0.1, 2016-08-07 16:16:41, GET, /admin/default/ticket/init/127.0.0.1.2016-08-07.16-16-39.b2a75ccd-db69-4ffa-94e8-9020462e4b35, HTTP/1.1, 200, 0.120000
